OBJECT,BMAJ,BMIN,BPA
NGC 628,11.88,9.3,-70.3
NGC 925,5.94,5.71,30.6
NGC 1569,7.71,7.04,16.5
NGC 2366,13.1,11.85,-1.6
NGC 2403,8.75,7.65,25.2
Ho II,13.74,12.57,-43
M81 DwA,15.87,14.23,10.2
DDO53,11.75,9.53,-5.9
NGC 2841,11.06,9.37,-12.3
NGC 2903,15.27,13.32,-51.3
Ho I,14.66,12.73,-41.6
NGC 2976,7.41,6.42,71.8
NGC 3031,12.91,12.41,79.9
NGC 3077,14.31,13.24,60.5
M81 DwB,12.45,10.56,-44.2
NGC 3184,7.51,6.93,85.4
NGC 3198,13.01,11.56,-58.5
IC 2574,12.81,11.9,46.8
NGC 3351,9.94,7.15,24.1
NGC 3521,14.14,11.15,-61.7
NGC 3621,15.95,10.24,3.6
NGC 3627,10.6,8.85,-48
NGC 4214,14.69,13.87,-48.2
NGC 4449,21.21,20.28,-20.5
NGC 4736,10.22,9.07,-23
DDO154,14.09,12.62,-34
NGC 4826,12.18,9.35,-76.1
NGC 5055,10.06,8.66,-40
NGC 5194,11.92,10.01,-86
NGC 5236,15.16,11.44,-3
NGC 5457,10.82,10.17,-67
NGC 6946,6.04,5.61,6.6
NGC 7331,6.13,5.61,34.3
NGC 7793,15.6,10.85,10.7
